"mp.title","mp.author","mp.journal_conference","mp.volume","mp.number","mp.year","mp.pages","mp.publisher","mp.school","mp.organization","cp.title","cp.author","cp.journal_conference","cp.volume","cp.number","cp.pages","cp.year","cp.publisher","cp.organization","dependent"
"A multiyear, global gridded fossil fuel CO2 emission data product: Evaluation and analysis of results","S Asefi-Najafabady, PJ Rayner, KR Gurney, A McRobert, Y Song, K Coltin, J Huang, C Elvidge, K Baugh","Journal of Geophysical Research: Atmospheres","119","17","2014",NA,NA,NA,NA,"Cities, traffic, and CO2: A multidecadal assessment of trends, drivers, and scaling relationships","CK Gately, LR Hutyra, IS Wing","Proceedings of the National Academy of Sciences","112","16","4999--5004","2015","National Acad Sciences",NA,"N"
"A multiyear, global gridded fossil fuel CO2 emission data product: Evaluation and analysis of results","S Asefi-Najafabady, PJ Rayner, KR Gurney, A McRobert, Y Song, K Coltin, J Huang, C Elvidge, K Baugh","Journal of Geophysical Research: Atmospheres","119","17","2014",NA,NA,NA,NA,"Greenhouse gas network design using backward Lagrangian particle dispersion modelling--Part 2: Sensitivity analyses and South African test case","A Nickless, T Ziehn, PJ Rayner, RJ Scholes, F Engelbrecht","Atmospheric Chemistry and Physics","15","4","2051--2069","2015","Copernicus GmbH",NA,"Y"
"A multiyear, global gridded fossil fuel CO2 emission data product: Evaluation and analysis of results","S Asefi-Najafabady, PJ Rayner, KR Gurney, A McRobert, Y Song, K Coltin, J Huang, C Elvidge, K Baugh","Journal of Geophysical Research: Atmospheres","119","17","2014",NA,NA,NA,NA,"High-resolution atmospheric inversion of urban CO2 emissions during the dormant season of the Indianapolis Flux Experiment (INFLUX)","T Lauvaux, NL Miles, A Deng, SJ Richardson, MO Cambaliza, KJ Davis, B Gaudet, KR Gurney, J Huang, D O'Keefe, NA others","Journal of Geophysical Research: Atmospheres","121","10","5213--5236","2016","Wiley Online Library",NA,"Y"
"A multiyear, global gridded fossil fuel CO2 emission data product: Evaluation and analysis of results","S Asefi-Najafabady, PJ Rayner, KR Gurney, A McRobert, Y Song, K Coltin, J Huang, C Elvidge, K Baugh","Journal of Geophysical Research: Atmospheres","119","17","2014",NA,NA,NA,NA,"Evaluation of NPP-VIIRS nighttime light data for mapping global fossil fuel combustion CO 2 emissions: a comparison with DMSP-OLS nighttime light data","J Ou, X Liu, X Li, M Li, W Li","PloS one","10","9","e0138310","2015","Public Library of Science",NA,"N"
"A multiyear, global gridded fossil fuel CO2 emission data product: Evaluation and analysis of results","S Asefi-Najafabady, PJ Rayner, KR Gurney, A McRobert, Y Song, K Coltin, J Huang, C Elvidge, K Baugh","Journal of Geophysical Research: Atmospheres","119","17","2014",NA,NA,NA,NA,"Toward consistency between bottom-up CO 2 emissions trends and top-down atmospheric measurements in the Los Angeles megacity.","S Newman, X Xu, KR Gurney, YK Hsu, KF Li, X Jiang, R Keeling, S Feng, D O'Keefe, R Patarasuk, NA others","Atmospheric Chemistry \& Physics Discussions","15","20",NA,"2015",NA,NA,"Y"
"A multiyear, global gridded fossil fuel CO2 emission data product: Evaluation and analysis of results","S Asefi-Najafabady, PJ Rayner, KR Gurney, A McRobert, Y Song, K Coltin, J Huang, C Elvidge, K Baugh","Journal of Geophysical Research: Atmospheres","119","17","2014",NA,NA,NA,NA,"Urban high-resolution fossil fuel CO2 emissions quantification and exploration of emission drivers for potential policy applications","R Patarasuk, KR Gurney, D O’Keeffe, Y Song, J Huang, P Rao, M Buchert, JC Lin, D Mendoza, JR Ehleringer","Urban Ecosystems","19","3","1013--1039","2016","Springer",NA,"Y"
"A multiyear, global gridded fossil fuel CO2 emission data product: Evaluation and analysis of results","S Asefi-Najafabady, PJ Rayner, KR Gurney, A McRobert, Y Song, K Coltin, J Huang, C Elvidge, K Baugh","Journal of Geophysical Research: Atmospheres","119","17","2014",NA,NA,NA,NA,"Mapping the carbon footprint of nations","K Kanemoto, D Moran, EG Hertwich","Environmental Science \& Technology","50","19","10512--10517","2016","ACS Publications",NA,"N"
"A multiyear, global gridded fossil fuel CO2 emission data product: Evaluation and analysis of results","S Asefi-Najafabady, PJ Rayner, KR Gurney, A McRobert, Y Song, K Coltin, J Huang, C Elvidge, K Baugh","Journal of Geophysical Research: Atmospheres","119","17","2014",NA,NA,NA,NA,"Toward consistency between trends in bottom-up CO 2 emissions and top-down atmospheric measurements in the Los Angeles megacity","S Newman, X Xu, KR Gurney, YK Hsu, KF Li, X Jiang, R Keeling, S Feng, D O'Keefe, R Patarasuk, NA others","Atmospheric Chemistry and Physics","16","6","3843--3863","2016","Copernicus GmbH",NA,"Y"
"A multiyear, global gridded fossil fuel CO2 emission data product: Evaluation and analysis of results","S Asefi-Najafabady, PJ Rayner, KR Gurney, A McRobert, Y Song, K Coltin, J Huang, C Elvidge, K Baugh","Journal of Geophysical Research: Atmospheres","119","17","2014",NA,NA,NA,NA,"Los Angeles megacity: a high-resolution land--atmosphere modelling system for urban CO 2 emissions","S Feng, T Lauvaux, S Newman, P Rao, R Ahmadov, A Deng, LI D{\'\i}az-Isaac, RM Duren, ML Fischer, C Gerbig, NA others","Atmospheric Chemistry and Physics","16","14","9019--9045","2016","Copernicus GmbH",NA,"N"
"A multiyear, global gridded fossil fuel CO2 emission data product: Evaluation and analysis of results","S Asefi-Najafabady, PJ Rayner, KR Gurney, A McRobert, Y Song, K Coltin, J Huang, C Elvidge, K Baugh","Journal of Geophysical Research: Atmospheres","119","17","2014",NA,NA,NA,NA,"A comparison of five high-resolution spatially-explicit, fossil-fuel, carbon dioxide emission inventories for the United States","MG Hutchins, JD Colby, G Marland, E Marland","Mitigation and Adaptation Strategies for Global Change",NA,NA,"1--26","2016","Springer",NA,"N"
